movieId,title,year
296,Pulp Fiction,1994
299,Priest,1994
300,Quiz Show,1994
304,Roommates,1995
312,Stuart Saves His Family,1995
316,Stargate,1994
319,Shallow Grave,1994
320,Suture,1993
322,Swimming with Sharks,1995
327,Tank Girl,1995
329,Star Trek: Generations,1994
330,Tales from the Hood,1995
331,Tom & Viv,1994
332,Village of the Damned,1995
333,Tommy Boy,1995
334,Vanya on 42nd Street,1994
337,What's Eating Gilbert Grape,1993
338,Virtuosity,1995
339,While You Were Sleeping,1995
341,Double Happiness,1994
342,Muriel's Wedding,1994
344,Ace Ventura: Pet Detective,1994
346,Backbeat,1993
347,Bitter Moon,1992
348,Bullets Over Broadway,1994
349,Clear and Present Danger,1994
351,"Corrina, Corrina",1994
352,Crooklyn,1994
354,Cobb,1994
356,Forrest Gump,1994
357,Four Weddings and a Funeral,1994
358,Higher Learning,1995
360,I Love Trouble,1994
361,It Could Happen to You,1994
365,Little Buddha,1993
368,Maverick,1994
369,Mrs. Parker and the Vicious Circle,1994
372,Reality Bites,1994
373,Red Rock West,1992
375,Safe Passage,1994
377,Speed,1994
378,Speechless,1994
379,Timecop,1994
380,True Lies,1994
381,When a Man Loves a Woman,1994
382,Wolf,1994
383,Wyatt Earp,1994
384,Bad Company,1995
386,S.F.W.,1994
391,Jason's Lyric,1994
393,Street Fighter,1994
396,Fall Time,1995
404,Brother Minister: The Assassination of Malcolm X,1994
407,In the Mouth of Madness,1995
408,8 Seconds,1994
409,Above the Rim,1994
410,Addams Family Values,1993
413,Airheads,1994
415,Another Stakeout,1993
416,Bad Girls,1994
417,Barcelona,1994
418,Being Human,1993
420,Beverly Hills Cop III,1994
421,Black Beauty,1994
422,Blink,1994
423,Blown Away,1994
424,Blue Chips,1994
425,Blue Sky,1994
426,Body Snatchers,1993
427,Boxing Helena,1993
429,Cabin Boy,1994
430,Calendar Girl,1993
431,Carlito's Way,1993
432,City Slickers II: The Legend of Curly's Gold,1994
433,Clean Slate,1994
434,Cliffhanger,1993
435,Coneheads,1993
436,Color of Night,1994
439,Dangerous Game,1993
440,Dave,1993
441,Dazed and Confused,1993
442,Demolition Man,1993
444,Even Cowgirls Get the Blues,1993
445,Fatal Instinct,1993
448,Fearless,1993
449,Fear of a Black Hat,1994
450,With Honors,1994
451,Flesh and Bone,1993
452,Widows' Peak,1994
453,For Love or Money,1993
455,Free Willy,1993
456,Fresh,1994
458,Geronimo: An American Legend,1993
460,Getting Even with Dad,1994
461,Go Fish,1994
463,Guilty as Sin,1993
464,Hard Target,1993
465,Heaven & Earth,1993
466,Hot Shots! Part Deux,1993
467,Live Nude Girls,1995
470,House Party 3,1994
472,I'll Do Anything,1994
473,In the Army Now,1994
474,In the Line of Fire,1993
475,In the Name of the Father,1993
479,Judgment Night,1993
480,Jurassic Park,1993
481,Kalifornia,1993
482,Killing Zoe,1994
483,King of the Hill,1993
485,Last Action Hero,1993
487,Lightning Jack,1994
488,M. Butterfly,1993
489,Made in America,1993
490,Malice,1993
492,Manhattan Murder Mystery,1993
493,Menace II Society,1993
494,Executive Decision,1996
496,What Happened Was...,1994
497,Much Ado About Nothing,1993
498,Mr. Jones,1993
499,Mr. Wonderful,1993
500,Mrs. Doubtfire,1993
501,Naked,1993
504,No Escape,1994
505,North,1994
506,Orlando,1992
508,Philadelphia,1993
510,Poetic Justice,1993
513,Radioland Murders,1994
516,Renaissance Man,1994
517,Rising Sun,1993
519,RoboCop 3,1993
520,Robin Hood: Men in Tights,1993
521,Romeo Is Bleeding,1993
522,Romper Stomper,1992
523,Ruby in Paradise,1993
524,Rudy,1993
527,Schindler's List,1993
529,Searching for Bobby Fischer,1993
532,Serial Mom,1994
534,Shadowlands,1993
535,Short Cuts,1993
537,Sirens,1994
538,Six Degrees of Separation,1993
539,Sleepless in Seattle,1993
540,Sliver,1993
541,Blade Runner,1982
542,Son in Law,1993
543,So I Married an Axe Murderer,1993
544,Striking Distance,1993
545,Harem,1985
546,Super Mario Bros.,1993
547,Surviving the Game,1994
548,Terminal Velocity,1994
550,Threesome,1994
553,Tombstone,1993
554,Trial by Jury,1994
555,True Romance,1993
562,Welcome to the Dollhouse,1995
563,Germinal,1993
565,Cronos,1993
566,Naked in New York,1994
567,Kika,1993
568,Bhaji on the Beach,1993
569,Little Big League,1994
574,Spanking the Monkey,1994
577,Andre,1994
580,Princess Caraboo,1994
586,Home Alone,1990
587,Ghost,1990
588,Aladdin,1992
589,Terminator 2: Judgment Day,1991
590,Dances with Wolves,1990
592,Batman,1989
594,Snow White and the Seven Dwarfs,1937
595,Beauty and the Beast,1991
596,Pinocchio,1940
597,Pretty Woman,1990
600,Love and a .45,1994
605,One Fine Day,1996
606,Candyman: Farewell to the Flesh,1995
608,Fargo,1996
609,Homeward Bound II: Lost in San Francisco,1996
610,Heavy Metal,1981
611,Hellraiser: Bloodline,1996
613,Jane Eyre,1996
614,Loaded,1994
618,Two Much,1995
619,Ed,1996
628,Primal Fear,1996
630,Carried Away,1996
631,All Dogs Go to Heaven 2,1996
633,Denise Calls Up,1995
634,Theodore Rex,1995
637,Sgt. Bilko,1996
639,Girl 6,1996
640,Diabolique,1996
647,Courage Under Fire,1996
648,Mission: Impossible,1996
650,Moll Flanders,1996
656,Eddie,1996
660,August,1996
661,James and the Giant Peach,1996
662,Fear,1996
663,Kids in the Hall: Brain Candy,1996
664,Faithful,1996
665,Underground,1995
671,Mystery Science Theater 3000: The Movie,1996
673,Space Jam,1996
674,Barbarella,1968
678,Some Folks Call It a Sling Blade,1993
685,It's My Party,1996
688,Operation Dumbo Drop,1995
691,Mrs. Winterbourne,1996
692,Solo,1996
695,True Crime,1996
697,Feeling Minnesota,1996
700,Angus,1995
702,Faces,1968
703,Boys,1996
705,Cosi,1996
706,Sunset Park,1996
707,Mulholland Falls,1996
709,Oliver & Company,1988
710,Celtic Pride,1996
711,Flipper,1996
712,Captives,1994
714,Dead Man,1995
716,Switchblade Sisters,1975
719,Multiplicity,1996
726,Last Dance,1996
728,Cold Comfort Farm,1995
731,Heaven's Prisoners,1996
732,Original Gangstas,1996
736,Twister,1996
737,Barb Wire,1996
742,Thinner,1996
743,Spy Hard,1996
746,Force of Evil,1948
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
754,Gold Diggers: The Secret of Bear Mountain,1995
755,Kim,1950
759,Maya Lin: A Strong Clear Vision,1994
760,Stalingrad,1993
762,Striptease,1996
764,Heavy,1995
765,Jack,1996
766,I Shot Andy Warhol,1996
778,Trainspotting,1996
781,Stealing Beauty,1996
785,Kingpin,1996
786,Eraser,1996
798,Daylight,1996
800,Lone Star,1996
801,Harriet the Spy,1996
802,Phenomenon,1996
803,Walking and Talking,1996
804,She's the One,1996
806,American Buffalo,1996
808,Alaska,1996
809,Fled,1996
810,Kazaam,1996
813,Larger Than Life,1996
824,Kaspar Hauser,1993
829,Joe's Apartment,1996
831,Stonewall,1995
832,Ransom,1996
833,High School High,1996
834,Phat Beach,1996
835,Foxfire,1996
836,Chain Reaction,1996
837,Matilda,1996
838,Emma,1996
840,House Arrest,1996
846,Flirt,1995
849,Escape from L.A.,1996
851,Basquiat,1996
852,Tin Cup,1996
862,Manny & Lo,1996
865,Small Faces,1996
866,Bound,1996
867,Carpool,1996
868,Death in Brunswick,1991
869,Kansas City,1996
870,Gone Fishin',1997
875,Nothing to Lose,1994
881,First Kid,1996
885,Bogus,1996
886,Bulletproof,1996
892,Twelfth Night,1996
893,Mother Night,1996
897,For Whom the Bell Tolls,1943
899,Singin' in the Rain,1952
901,Funny Face,1957
902,Breakfast at Tiffany's,1961
903,Vertigo,1958
904,Rear Window,1954
905,It Happened One Night,1934
906,Gaslight,1944
908,North by Northwest,1959
910,Some Like It Hot,1959
911,Charade,1963
912,Casablanca,1942
914,My Fair Lady,1964
915,Sabrina,1954
916,Roman Holiday,1953
918,Meet Me in St. Louis,1944
920,Gone with the Wind,1939
921,My Favorite Year,1982
923,Citizen Kane,1941
924,2001: A Space Odyssey,1968
926,All About Eve,1950
928,Rebecca,1940
929,Foreign Correspondent,1940
930,Notorious,1946
931,Spellbound,1945
933,To Catch a Thief,1955
934,Father of the Bride,1950
936,Ninotchka,1939
937,Love in the Afternoon,1957
938,Gigi,1958
942,Laura,1944
944,Lost Horizon,1937
945,Top Hat,1935
946,To Be or Not to Be,1942
947,My Man Godfrey,1936
948,Giant,1956
949,East of Eden,1955
951,His Girl Friday,1940
952,Around the World in 80 Days,1956
953,It's a Wonderful Life,1946
954,Mr. Smith Goes to Washington,1939
955,Bringing Up Baby,1938
956,Penny Serenade,1941
958,Lady of Burlesque,1943
959,Of Human Bondage,1934
960,Angel on My Shoulder,1946
961,Little Lord Fauntleroy,1936
964,Angel and the Badman,1947
968,Night of the Living Dead,1968
970,Beat the Devil,1953
971,Cat on a Hot Tin Roof,1958
973,Meet John Doe,1941
974,Algiers,1938
979,Nothing Personal,1995
981,Dangerous Ground,1997
982,Picnic,1955
986,Fly Away Home,1996
987,Bliss,1997
988,Grace of My Heart,1996
990,Maximum Risk,1996
991,Michael Collins,1996
993,Infinity,1996
994,Big Night,1996
996,Last Man Standing,1996
997,Caught,1996
998,Set It Off,1996
999,2 Days in the Valley,1996
1000,Curdled,1996
1003,Extreme Measures,1996
1005,D3: The Mighty Ducks,1996
1008,"Davy Crockett, King of the Wild Frontier",1955
1009,Escape to Witch Mountain,1975
1011,Herbie Rides Again,1974
1012,Old Yeller,1957
1014,Pollyanna,1960
1015,Homeward Bound: The Incredible Journey,1993
1017,Swiss Family Robinson,1960
1018,That Darn Cat!,1965
1019,"20,000 Leagues Under the Sea",1954
1020,Cool Runnings,1993
1021,Angels in the Outfield,1994
1022,Cinderella,1950
1023,Winnie the Pooh and the Blustery Day,1968
1027,Robin Hood: Prince of Thieves,1991
1028,Mary Poppins,1964
1029,Dumbo,1941
1030,Pete's Dragon,1977
1031,Bedknobs and Broomsticks,1971
1032,Alice in Wonderland,1951
1034,Freeway,1996
1036,Die Hard,1988
1038,Unhook the Stars,1996
1041,Secrets & Lies,1996
1042,That Thing You Do!,1996
1043,To Gillian on Her 37th Birthday,1996
1044,Surviving Picasso,1996
1046,Beautiful Thing,1996
1050,Looking for Richard,1996
1051,Trees Lounge,1996
1053,Normal Life,1996
1054,Get on the Bus,1996
1056,Jude,1996
1057,Everyone Says I Love You,1996
1060,Swingers,1996
1061,Sleepers,1996
1063,Johns,1996
1064,Aladdin and the King of Thieves,1996
1066,Shall We Dance,1937
1068,Crossfire,1947
1069,"Murder, My Sweet",1944
1070,Macao,1952
1071,For the Moment,1994
1073,Willy Wonka & the Chocolate Factory,1971
1077,Sleeper,1973
1078,Bananas,1971
1081,Victor/Victoria,1982
1084,Bonnie and Clyde,1967
1086,Dial M for Murder,1954
1087,Madame Butterfly,1995
1088,Dirty Dancing,1987
1089,Reservoir Dogs,1992
1090,Platoon,1986
1091,Weekend at Bernie's,1989
1092,Basic Instinct,1992
1095,Glengarry Glen Ross,1992
1096,Sophie's Choice,1982
1097,E.T. the Extra-Terrestrial,1982
1100,Days of Thunder,1990
1101,Top Gun,1986
1103,Rebel Without a Cause,1955
1105,Children of the Corn IV: The Gathering,1996
1112,Palookaville,1996
1119,Drunks,1995
1121,Glory Daze,1995
1124,On Golden Pond,1981
1126,Drop Dead Fred,1991
1129,Escape from New York,1981
1131,Jean de Florette,1986
1135,Private Benjamin,1980
1136,Monty Python and the Holy Grail,1975
1145,Snowriders,1996
1147,When We Were Kings,1996
1152,He Walked by Night,1948
1153,Raw Deal,1948
1154,T-Men,1947
1167,Dear God,1996
1168,Bad Moon,1996
1169,American Dream,1990
1170,Best of the Best 3: No Turning Back,1995
1171,Bob Roberts,1992
1175,Delicatessen,1991
1177,Enchanted April,1992
1178,Paths of Glory,1957
1180,Hear My Song,1991
1184,Mediterraneo,1991
1186,"Sex, Lies, and Videotape",1989
1187,Passion Fish,1992
1188,Strictly Ballroom,1992
1191,Madonna: Truth or Dare,1991
1193,One Flew Over the Cuckoo's Nest,1975
1199,Brazil,1985
1200,Aliens,1986
1202,Withnail & I,1987
1203,12 Angry Men,1957
1204,Lawrence of Arabia,1962
1207,To Kill a Mockingbird,1962
1208,Apocalypse Now,1979
1214,Alien,1979
1215,Army of Darkness,1993
1219,Psycho,1960
1222,Full Metal Jacket,1987
1224,Henry V,1989
1225,Amadeus,1984
1227,Once Upon a Time in America,1984
1228,Raging Bull,1980
1230,Annie Hall,1977
1232,Stalker,1979
1235,Harold and Maude,1971
1236,Trust,1990
1238,Local Hero,1983
1242,Glory,1989
1244,Manhattan,1979
1245,Miller's Crossing,1990
1246,Dead Poets Society,1989
1248,Touch of Evil,1958
1252,Chinatown,1974
1255,Bad Taste,1987
1256,Duck Soup,1933
1257,Better Off Dead...,1985
1259,Stand by Me,1986
1260,M,1931
1264,Diva,1981
1265,Groundhog Day,1993
1266,Unforgiven,1992
1269,Arsenic and Old Lace,1944
1270,Back to the Future,1985
1271,Fried Green Tomatoes,1991
1272,Patton,1970
1273,Down by Law,1986
1275,Highlander,1986
1276,Cool Hand Luke,1967
1277,Cyrano de Bergerac,1990
1278,Young Frankenstein,1974
1279,Night on Earth,1991
1282,Fantasia,1940
1283,High Noon,1952
1285,Heathers,1989
1286,Somewhere in Time,1980
1287,Ben-Hur,1959
1288,This Is Spinal Tap,1984
1290,Some Kind of Wonderful,1987
1291,Indiana Jones and the Last Crusade,1989
1292,Being There,1979
1293,Gandhi,1982
1297,Real Genius,1985
1298,Pink Floyd: The Wall,1982
1301,Forbidden Planet,1956
1302,Field of Dreams,1989
1304,Butch Cassidy and the Sundance Kid,1969
1305,"Paris, Texas",1984
1307,When Harry Met Sally...,1989
1311,Santa with Muscles,1996
1312,Female Perversions,1996
1317,I'm Not Rappaport,1996
1318,Blue Juice,1995
1323,Amityville 3-D,1983
1324,Amityville: Dollhouse,1996
1325,Amityville: A New Generation,1993
1326,Amityville II: The Possession,1982
1330,April Fool's Day,1986
1336,Body Parts,1991
1342,Candyman,1992
1343,Cape Fear,1991
1344,Cape Fear,1962
1345,Carrie,1976
1346,Cat People,1982
1352,Albino Alligator,1996
1354,Breaking the Waves,1996
1355,Nightwatch,1997
1356,Star Trek: First Contact,1996
1357,Shine,1996
1358,Sling Blade,1996
1359,Jingle All the Way,1996
1361,Paradise Lost: The Child Murders at Robin Hood Hills,1996
1365,Ridicule,1996
1367,101 Dalmatians,1996
1370,Die Hard 2,1990
1371,Star Trek: The Motion Picture,1979
1372,Star Trek VI: The Undiscovered Country,1991
1373,Star Trek V: The Final Frontier,1989
1374,Star Trek II: The Wrath of Khan,1982
1375,Star Trek III: The Search for Spock,1984
1376,Star Trek IV: The Voyage Home,1986
1377,Batman Returns,1992
1378,Young Guns,1988
1379,Young Guns II,1990
1380,Grease,1978
1381,Grease 2,1982
1382,Marked for Death,1990
1385,Under Siege,1992
1386,Terror in a Texas Town,1958
1387,Jaws,1975
1388,Jaws 2,1978
1389,Jaws 3-D,1983
1390,My Fellow Americans,1996
1391,Mars Attacks!,1996
1392,Citizen Ruth,1996
1393,Jerry Maguire,1996
1394,Raising Arizona,1987
1395,Tin Men,1987
1396,Sneakers,1992
1397,Bastard Out of Carolina,1996
1398,In Love and War,1996
1399,Marvin's Room,1996
1401,Ghosts of Mississippi,1996
1404,Night Falls on Manhattan,1996
1405,Beavis and Butt-Head Do America,1996
1406,La Cérémonie,1995
1407,Scream,1996
1409,Michael,1996
1411,Hamlet,1996
1412,Some Mother's Son,1996
1414,Mother,1996
1416,Evita,1996
1419,Walkabout,1971
1422,Murder at 1600,1997
1423,Hearts and Minds,1996
1425,Fierce Creatures,1997
1427,Turbulence,1997
1428,Angel Baby,1995
1430,Underworld,1996
1431,Beverly Hills Ninja,1997
1432,Metro,1997
1438,Dante's Peak,1997
1439,Meet Wally Sparks,1997
1440,Amos & Andrew,1993
1441,Benny & Joon,1993
1442,Prefontaine,1997
1445,McHale's Navy,1997
1447,Gridlock'd,1997
1449,Waiting for Guffman,1996
1454,SubUrbia,1997
1455,Hotel de Love,1996
1457,Fools Rush In,1997
1458,Touch,1997
1459,Absolute Power,1997
1460,That Darn Cat,1997
1463,That Old Feeling,1997
1464,Lost Highway,1997
1465,Rosewood,1997
1466,Donnie Brasco,1997
1468,Booty Call,1997
1471,Boys Life 2,1997
1472,City of Industry,1997
1473,Best Men,1997
1476,Private Parts,1997
1477,Love Jones,1997
1480,Smilla's Sense of Snow,1997
1483,Crash,1996
1485,Liar Liar,1997
1487,Selena,1997
1489,Cats Don't Dance,1997
1493,Love and Other Catastrophes,1996
1495,Turbo: A Power Rangers Movie,1997
1496,Anna Karenina,1997
1497,Double Team,1997
1498,Inventing the Abbotts,1997
1499,Anaconda,1997
1500,Grosse Pointe Blank,1997
1501,Keys to Tulsa,1997
1503,8 Heads in a Duffel Bag,1997
1504,Hollow Reed,1996
1508,Traveller,1997
1509,All Over Me,1997
1513,Romy and Michele's High School Reunion,1997
1515,Volcano,1997
1516,Children of the Revolution,1996
1517,Austin Powers: International Man of Mystery,1997
1518,Breakdown,1997
1519,Broken English,1996
1520,Commandments,1997
1522,Ripe,1996
1523,"Truth or Consequences, N.M.",1997
1526,Fathers' Day,1997
1528,Intimate Relations,1996
1529,Nowhere,1997
1535,Love! Valour! Compassion!,1997
1539,Twin Town,1997
1541,Addicted to Love,1997
1542,Brassed Off,1996
1545,Ponette,1996
1546,Schizopolis,1996
1547,Shiloh,1997
1550,Trial and Error,1997
1552,Con Air,1997
1556,Speed 2: Cruise Control,1997
1562,Batman & Robin,1997
1565,Head Above Water,1996
1566,Hercules,1997
1569,My Best Friend's Wedding,1997
1573,Face/Off,1997
1581,Out to Sea,1997
1582,Wild America,1997
1584,Contact,1997
1585,Love Serenade,1996
1586,G.I. Jane,1997
1587,Conan the Barbarian,1982
1588,George of the Jungle,1997
1589,Cop Land,1997
1590,Event Horizon,1997
1591,Spawn,1997
1592,Air Bud,1997
1593,Picture Perfect,1997
1594,In the Company of Men,1997
1595,Free Willy 3: The Rescue,1997
1596,Career Girls,1997
1597,Conspiracy Theory,1997
1598,Desperate Measures,1998
1599,Steel,1997
1600,She's So Lovely,1997
1601,Hoodlum,1997
1603,Mimic,1997
1604,Money Talks,1997
1605,Excess Baggage,1997
1606,Kull the Conqueror,1997
1608,Air Force One,1997
1611,My Own Private Idaho,1991
1612,"Kiss Me, Guido",1997
1614,In & Out,1997
1617,L.A. Confidential,1997
1619,Seven Years in Tibet,1997
1620,Kiss the Girls,1997
1621,Soul Food,1997
1623,Wishmaster,1997
1626,Fire Down Below,1997
1627,U Turn,1997
1633,Ulee's Gold,1997
1639,Chasing Amy,1997
1644,I Know What You Did Last Summer,1997
1647,Playing God,1997
1649,"Fast, Cheap & Out of Control",1997
1650,Washington Square,1997
1653,Gattaca,1997
1654,FairyTale: A True Story,1997
1655,Phantoms,1998
1656,Swept from the Sea,1997
1659,Hurricane Streets,1997
1660,Eve's Bayou,1997
1661,Switchback,1997
1663,Stripes,1981
1665,Bean,1997
1667,Mad City,1997
1670,Welcome to Sarajevo,1997
1671,Deceiver,1997
1673,Boogie Nights,1997
1674,Witness,1985
1675,Incognito,1997
1676,Starship Troopers,1997
1680,Sliding Doors,1998
1681,Mortal Kombat: Annihilation,1997
1684,Mrs. Dalloway,1997
1686,Red Corner,1997
1688,Anastasia,1997
1690,Alien: Resurrection,1997
1692,Alien Escape,1995
1693,Amistad,1997
1695,Artemisia,1997
1696,Bent,1997
1701,Deconstructing Harry,1997
1702,Flubber,1997
1703,For Richer or Poorer,1997
1704,Good Will Hunting,1997
1707,Home Alone 3,1997
1711,Midnight in the Garden of Good and Evil,1997
1717,Scream 2,1997
1721,Titanic,1997
1722,Tomorrow Never Dies,1997
1729,Jackie Brown,1997
1730,Kundun,1997
1731,Mr. Magoo,1997
1733,Afterglow,1997
1735,Great Expectations,1998
1744,Firestorm,1998
1747,Wag the Dog,1997
1748,Dark City,1998
1750,Star Kid,1997
1752,Hard Rain,1998
1753,Half Baked,1998
1754,Fallen,1998
1755,Shooting Fish,1997
1760,Spice World,1997
1762,Deep Rising,1998
1770,B. Monkey,1998
1772,Blues Brothers 2000,1998
1779,Sphere,1998
1783,Palmetto,1998
1784,As Good as It Gets,1997
1785,King of New York,1990
1788,Men with Guns,1997
1791,Twilight,1998
1792,U.S. Marshals,1998
1794,Love and Death on Long Island,1997
1796,In God's Hands,1998
1797,Everest,1998
1799,Suicide Kings,1997
1805,Wild Things,1998
1806,Paulie,1998
1810,Primary Colors,1998
1816,Two Girls and a Guy,1997
1822,Meet the Deedles,1998
1824,Homegrown,1998
1825,The Players Club,1998
1826,Barney's Great Adventure,1998
1829,Chinese Box,1997
1831,Lost in Space,1998
1833,Mercury Rising,1998
1835,City of Angels,1998
1840,He Got Game,1998
1845,Zero Effect,1998
1854,Kissing a Fool,1998
1855,Krippendorf's Tribe,1998
1856,Kurt & Courtney,1998
1862,Species II,1998
1863,Major League: Back to the Minors,1998
1865,Wild Man Blues,1997
1867,Tarzan and the Lost City,1998
1869,Black Dog,1998
1870,"Dancer, Texas Pop. 81",1998
1875,Clockwatchers,1997
1876,Deep Impact,1998
1878,Woo,1998
1880,Lawn Dogs,1997
1881,Quest for Camelot,1998
1882,Godzilla,1998
1883,Bulworth,1998
1884,Fear and Loathing in Las Vegas,1998
1887,Almost Heroes,1998
1888,Hope Floats,1998
1889,Insomnia,1997
1890,Little Boy Blue,1997
1894,Six Days Seven Nights,1998
1895,Can't Hardly Wait,1998
1896,Cousin Bette,1998
1897,High Art,1998
1899,Passion in the Desert,1998
1902,Dream for an Insomniac,1996
1904,Henry Fool,1997
1906,Mr. Jealousy,1997
1907,Mulan,1998
1910,I Went Down,1997
1912,Out of Sight,1998
1913,Picnic at Hanging Rock,1975
1914,Smoke Signals,1998
1917,Armageddon,1998
1918,Lethal Weapon 4,1998
1920,Small Soldiers,1998
1921,Pi,1998
1922,Whatever,1998
1923,There's Something About Mary,1998
1924,Plan 9 from Outer Space,1959
1925,Wings,1927
1927,All Quiet on the Western Front,1930
1929,Grand Hotel,1932
1931,Mutiny on the Bounty,1935
1935,How Green Was My Valley,1941
1936,Mrs. Miniver,1942
1937,Going My Way,1944
1940,Gentleman's Agreement,1947
1941,Hamlet,1948
1942,All the King's Men,1949
1944,From Here to Eternity,1953
1945,On the Waterfront,1954
1946,Marty,1955
1947,West Side Story,1961
1948,Tom Jones,1963
1950,In the Heat of the Night,1967
1951,Oliver!,1968
1952,Midnight Cowboy,1969
1954,Rocky,1976
1955,Kramer vs. Kramer,1979
1956,Ordinary People,1980
1957,Chariots of Fire,1981
1958,Terms of Endearment,1983
1959,Out of Africa,1985
1961,Rain Man,1988
1962,Driving Miss Daisy,1989
1963,Take the Money and Run,1969
1964,Klute,1971
1965,Repo Man,1984
1966,Metropolitan,1990
1967,Labyrinth,1986
1974,Friday the 13th,1980
