original_title,vote_average,vote_count
Kalifornia,6.5,209.0
Killing Zoe,6.1,111.0
King of the Hill,6.4,33.0
Lassie,6.1,54.0
Last Action Hero,6.1,725.0
Life With Mikey,5.1,24.0
Lightning Jack,5.7,40.0
M. Butterfly,6.6,35.0
Made in America,5.3,86.0
Malice,5.9,105.0
The Man without a Face,6.2,125.0
Manhattan Murder Mystery,7.1,169.0
Menace II Society,7.2,179.0
Executive Decision,5.8,261.0
愛のコリーダ,6.5,112.0
What Happened Was...,7.0,7.0
Much Ado About Nothing,7.2,194.0
Mr. Jones,5.9,35.0
Mr. Wonderful,5.5,11.0
Mrs. Doubtfire,7.0,1638.0
Naked,7.5,105.0
The Next Karate Kid,4.8,202.0
The New Age,4.8,5.0
No Escape,6.1,86.0
North,4.8,67.0
Orlando,6.7,53.0
A Perfect World,7.2,376.0
Philadelphia,7.6,1019.0
The Piano,7.1,290.0
Poetic Justice,6.9,47.0
The Program,6.0,28.0
The Puppet Masters,5.6,41.0
Radioland Murders,5.8,12.0
The Ref,6.7,99.0
The Remains of the Day,7.5,213.0
Renaissance Man,5.9,83.0
Rising Sun,5.8,188.0
The Road to Wellville,5.5,43.0
RoboCop 3,4.2,309.0
Robin Hood: Men in Tights,6.4,575.0
Romeo Is Bleeding,5.7,36.0
Romper Stomper,6.6,126.0
Ruby in Paradise,5.6,10.0
Rudy,7.2,187.0
The Saint of Fort Washington,4.0,5.0
Les Nuits Fauves,6.2,11.0
Schindler's List,8.3,4436.0
The Scout,5.3,37.0
Searching for Bobby Fischer,7.3,100.0
Second Best,5.9,8.0
The Secret Garden,7.1,232.0
Serial Mom,6.4,137.0
The Shadow,5.4,140.0
Shadowlands,6.8,61.0
Short Cuts,6.9,136.0
A Simple Twist of Fate,5.7,26.0
Sirens,5.2,31.0
Six Degrees of Separation,6.5,75.0
Sleepless in Seattle,6.5,630.0
Sliver,4.9,144.0
Blade Runner,7.9,3833.0
Son in Law,5.6,81.0
So I Married an Axe Murderer,6.1,131.0
Striking Distance,5.4,223.0
Harem,4.0,4.0
Super Mario Bros.,4.0,236.0
Surviving the Game,6.1,53.0
Terminal Velocity,5.0,82.0
Thirty Two Short Films About Glenn Gould,7.4,9.0
Threesome,6.3,57.0
The Nightmare Before Christmas,7.6,2135.0
The Three Musketeers,6.2,219.0
Tombstone,7.4,632.0
Trial by Jury,5.5,5.0
True Romance,7.5,762.0
The War Room,7.3,19.0
The Pagemaster,6.2,178.0
"Paris, France",6.0,2.0
"The Beans of Egypt, Maine",0.0,1.0
Killer,3.0,2.0
Welcome to the Dollhouse,6.9,103.0
Germinal,6.3,43.0
Chasers,4.7,22.0
Cronos,6.4,153.0
Naked in New York,4.0,3.0
Kika,6.8,58.0
Bhaji on the Beach,5.1,10.0
Little Big League,6.0,20.0
Kådisbellan,6.2,10.0
Wide Eyed and Legless,0.0,0.0
Foreign Student,0.0,0.0
Io speriamo che me la cavo,7.2,74.0
Spanking the Monkey,5.3,29.0
The Little Rascals,6.3,214.0
À la mode,0.0,0.0
Andre,5.0,31.0
La scorta,5.0,5.0
Princess Caraboo,4.4,5.0
The Celluloid Closet,7.0,24.0
Métisse,6.8,4.0
Caro diario,6.9,46.0
De eso no se habla,6.0,1.0
The Brady Bunch Movie,5.9,87.0
Home Alone,7.1,2487.0
Ghost,6.9,1381.0
Aladdin,7.4,3495.0
Terminator 2: Judgment Day,7.7,4274.0
Dances with Wolves,7.6,1084.0
Tough and Deadly,6.3,4.0
Batman,7.0,2145.0
The Silence of the Lambs,8.1,4549.0
Snow White and the Seven Dwarfs,6.9,1973.0
Beauty and the Beast,7.5,3029.0
Pinocchio,6.9,1412.0
Pretty Woman,7.0,1807.0
Окно в Париж,6.0,6.0
The Wild Bunch,7.7,266.0
Love and a .45,5.5,15.0
The Wooden Man's Bride,6.5,1.0
A Great Day in Harlem,7.0,2.0
Bye Bye Love,6.1,20.0
One Fine Day,6.1,160.0
Candyman: Farewell to the Flesh,5.0,64.0
Century,5.0,1.0
Fargo,7.7,2080.0
Homeward Bound II: Lost in San Francisco,6.0,105.0
Heavy Metal,6.3,150.0
Hellraiser: Bloodline,4.9,111.0
The Pallbearer,4.6,30.0
Jane Eyre,7.1,51.0
Loaded,4.0,3.0
Pane e cioccolata,7.1,10.0
The Aristocats,7.1,1287.0
La flor de mi secreto,6.9,43.0
Two Much,5.1,24.0
Ed,3.6,24.0
Schrei aus Stein,7.5,4.0
Ma saison préférée,6.4,4.0
A Modern Affair,5.0,1.0
Condition Red,4.7,3.0
Asfour Stah,7.4,5.0
A Thin Line Between Love and Hate,5.7,15.0
The Last Supper,6.5,82.0
Primal Fear,7.4,644.0
Rude,6.0,1.0
Carried Away,5.4,5.0
All Dogs Go to Heaven 2,5.0,50.0
Land and Freedom,7.0,53.0
Denise Calls Up,6.6,5.0
Theodore Rex,3.6,17.0
A Family Thing,5.6,14.0
Frisk,3.0,3.0
Sgt. Bilko,5.5,96.0
Jack & Sarah,5.1,10.0
Girl 6,5.7,17.0
Diabolique,5.4,74.0
Un indien dans la ville,6.0,145.0
Roula - Dunkle Geheimnisse,5.0,1.0
Peanuts – Die Bank zahlt alles,4.0,1.0
Happy Weekend,0.0,0.0
Nelly & Monsieur Arnaud,7.1,16.0
Courage Under Fire,6.2,240.0
Mission: Impossible,6.7,2677.0
Á köldum klaka,7.7,6.0
Moll Flanders,6.2,19.0
Das Superweib,5.3,7.0
삼공일 삼공이,6.2,10.0
DragonHeart,6.4,553.0
Und keiner weint mir nach,0.0,0.0
My Mother's Courage,0.0,0.0
Eddie,5.4,46.0
Yankee Zulu,6.0,4.0
Billy's Holiday,0.0,0.0
Plein soleil,7.3,73.0
August,5.3,3.0
James and the Giant Peach,6.2,375.0
Fear,6.1,157.0
Kids in the Hall: Brain Candy,5.9,26.0
Faithful,4.8,4.0
Podzemlje,7.5,143.0
Lust och fägring stor,6.1,23.0
Bloodsport II,5.2,23.0
পথের পাঁচালী,7.9,63.0
অপুর সংসার,8.2,40.0
Mystery Science Theater 3000: The Movie,7.0,71.0
Tarantella,0.0,0.0
Space Jam,6.5,1335.0
Barbarella,5.7,149.0
Hostile Intentions,8.0,1.0
They Bite,5.5,1.0
Some Folks Call It a Sling Blade,7.5,8.0
The Run of the Country,8.0,2.0
"Alphaville, une étrange aventure de Lemmy Caution",6.8,100.0
Coup de torchon,6.8,21.0
Tigrero: A Film That Was Never Made,7.5,4.0
L'oeil de Vichy,0.0,0.0
Windows,5.8,9.0
It's My Party,6.2,9.0
Country Life,8.0,1.0
Operation Dumbo Drop,4.7,37.0
Das Versprechen,5.0,1.0
Mrs. Winterbourne,5.5,26.0
Solo,3.9,18.0
Etz Hadomim Tafus,6.5,2.0
The Substitute,5.8,60.0
True Crime,5.1,7.0
Butterfly Kiss,7.4,5.0
Feeling Minnesota,5.5,29.0
Delta of Venus,3.3,5.0
To Cross the Rubicon,0.0,0.0
Angus,6.8,24.0
Daens,6.7,15.0
Faces,7.1,36.0
Boys,5.3,11.0
The Quest,5.3,126.0
Cosi,7.1,9.0
Sunset Park,5.1,7.0
Mulholland Falls,6.2,73.0
The Truth About Cats & Dogs,5.7,86.0
Oliver & Company,6.5,372.0
Celtic Pride,4.9,35.0
Flipper,5.3,85.0
Captives,6.0,10.0
Of Love and Shadows,4.4,11.0
Dead Man,7.2,397.0
Le Hussard sur le toit,6.7,25.0
Switchblade Sisters,6.6,27.0
Boca a boca,5.5,5.0
Les visiteurs,7.1,433.0
Multiplicity,5.5,158.0
"The Haunted World of Edward D. Wood, Jr.",10.0,1.0
Due Amici,0.0,0.0
The Craft,6.3,388.0
The Great White Hype,5.1,29.0
Last Dance,5.6,9.0
War Stories Our Mother Never Told Us,0.0,0.0
Cold Comfort Farm,7.0,21.0
"Institute Benjamenta, or This Dream People Call Human Life",7.7,11.0
Heaven's Prisoners,5.0,17.0
Original Gangstas,5.5,5.0
The Rock,6.9,1474.0
Getting Away with Murder,5.5,6.0
Dellamorte Dellamore,7.0,105.0
Twister,6.1,966.0
Barb Wire,3.9,117.0
Le garçu,5.0,1.0
Honigmond,0.0,0.0
GHOST IN THE SHELL,7.8,854.0
Thinner,5.5,125.0
Spy Hard,4.9,148.0
Brothers in Trouble,0.0,0.0
A Close Shave,7.5,223.0
Force of Evil,6.6,33.0
The Stupids,4.2,22.0
The Arrival,6.1,200.0
The Man from Down Under,0.0,0.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.0,1472.0
Careful,7.8,4.0
Vermont Is for Lovers,0.0,0.0
A Month by the Lake,7.2,7.0
Gold Diggers: The Secret of Bear Mountain,5.8,20.0
Kim,7.0,5.0
Carmen Miranda: Bananas Is My Business,10.0,1.0
東邪西毒,7.1,73.0
Khomreh,8.0,3.0
Maya Lin: A Strong Clear Vision,0.0,0.0
Stalingrad,7.4,116.0
The Phantom,4.7,138.0
Striptease,4.4,210.0
The Last of the High Kings,5.7,15.0
Heavy,7.7,11.0
Jack,5.9,340.0
I Shot Andy Warhol,6.1,32.0
The Grass Harp,6.1,4.0
Tuđa Amerika,0.0,0.0
La vie est belle,6.5,2.0
Quartier Mozart,5.0,1.0
Touki-Bouki,7.3,10.0
Wend Kuuni,5.0,1.0
Histoires extraordinaires,5.5,24.0
Babyfever,0.0,0.0
Pharaoh's  Army,6.3,5.0
Trainspotting,7.8,2737.0
Til There Was You,3.9,4.0
Independence Day,6.7,3334.0
Stealing Beauty,6.6,99.0
The Fan,5.7,202.0
The Hunchback of Notre Dame,6.8,1182.0
The Cable Guy,5.7,603.0
Kingpin,6.7,248.0
Eraser,5.6,553.0
The Gate of Heavenly Peace,6.7,3.0
The Nutty Professor,5.4,717.0
"Yo, la peor de todas",6.8,3.0
Un été inoubliable,7.2,6.0
"Hol volt, hol nem volt",0.0,0.0
En compagnie d'Antonin Artaud,8.0,1.0
Sibak,7.0,1.0
Somebody to Love,5.1,2.0
A Very Natural Thing,6.3,3.0
La vieille qui marchait dans la mer,0.0,0.0
Daylight,5.8,385.0
The Frighteners,6.7,413.0
Lone Star,6.9,79.0
Harriet the Spy,5.7,47.0
Phenomenon,6.2,328.0
Walking and Talking,6.6,8.0
She's the One,5.7,71.0
A Time to Kill,7.0,522.0
American Buffalo,6.2,9.0
Les Rendez-vous de Paris,6.5,4.0
Alaska,5.2,32.0
Fled,5.2,49.0
Kazaam,3.6,60.0
Bűvös vadász,6.0,1.0
Larger Than Life,5.4,35.0
A Boy Called Hate,6.0,2.0
Power 98,4.0,1.0
Two Deaths,7.0,2.0
A Very Brady Sequel,5.8,42.0
Stefano Quantestorie,6.0,1.0
La mort en ce jardin,7.4,8.0
Hedd Wyn,6.5,2.0
La Collectionneuse,6.5,25.0
Kaspar Hauser,6.3,4.0
Echte Kerle,5.2,9.0
Diebinnen,4.0,1.0
O Convento,6.5,6.0
The Adventures of Pinocchio,5.0,55.0
Joe's Apartment,5.0,87.0
The First Wives Club,6.5,172.0
Stonewall,7.2,10.0
Ransom,6.4,482.0
High School High,5.4,51.0
Phat Beach,5.4,8.0
Foxfire,6.3,30.0
Chain Reaction,5.3,291.0
Matilda,6.9,892.0
Emma,6.7,152.0
The Crow: City of Angels,5.2,119.0
House Arrest,5.0,32.0
Les Yeux sans visage,7.5,130.0
Bordello of Blood,5.0,63.0
Lotto Land,7.0,1.0
The Story of Xinghua,0.0,0.0
天國逆子,7.0,2.0
Flirt,7.5,4.0
The Big Squeeze,5.0,1.0
The Spitfire Grill,6.8,17.0
Escape from L.A.,5.6,381.0
Xích lô,6.8,23.0
Basquiat,6.6,97.0
Tin Cup,5.9,152.0
Dingo,6.0,1.0
楢山節考,6.4,12.0
Un week-end sur deux,6.0,2.0
Mille bolle blu,6.0,1.0
Wuya yu maque,5.0,1.0
The Godfather,8.5,6024.0
Der bewegte Mann,6.1,34.0
警察故事 III：超級警察,6.7,109.0
Manny & Lo,6.3,9.0
Tsuma,0.0,0.0
Small Faces,6.4,10.0
Bound,6.9,203.0
Carpool,4.9,17.0
Death in Brunswick,6.1,7.0
Kansas City,6.1,13.0
